# System                       SpT1         SpT2            Pday  Vmag   BmV   logM1   logM1e  logM2   logM2e  logR1   logR1e  logR2   logR2e  logg1   logg1e  logg2   logg2e  logT1   logT1e  logT2   logT2e  logL1   logL1e  logL2   logL2e  MoH     MoHe                                                 
NGC_3201_V142                  none         none           27.693 17.25  0.78 -0.0947  0.0027 -0.1778  0.0013  0.3448  0.0045 -0.1593  0.0025  3.6540  0.0050  4.5880  0.0030  3.7720  0.0120  3.7440  0.0120  0.7310  0.0490 -0.2400  0.1100 -1.4700  0.0400
NGC_3201_V139                  none         none            8.789 18.08  0.74 -0.0937  0.0038 -0.1649  0.0019  0.0846  0.0043 -0.1630  0.0025  4.1750  0.0060  4.5990  0.0030  3.7930  0.0050  3.7450  0.0060  0.2940  0.0220 -0.3870  0.0210 -1.4700  0.0400
NGC_6362_V41                   none         none           17.889 18.77  0.57 -0.0854  0.0031 -0.1379  0.0028  0.0310  0.0019 -0.1363  0.0027  4.3110  0.0040  4.5930  0.0060  3.7870  0.0090  3.7590  0.0090  0.1640  0.0330 -0.2810  0.0360 -1.0700  0.0500
ASAS_J212954-5620.1            none         none            0.702 11.93  1.17 -0.0794  0.0089 -0.1530  0.0080 -0.0731  0.0062 -0.1439  0.0103  4.5060  0.0120  4.5740  0.0200  3.6770  0.0140  3.6250  0.0190 -0.4820  0.0570 -0.8400  0.0760 -9.9900 -9.9900
NGC_6362_V40                   none         none            5.296 18.22  0.55 -0.0790  0.0033 -0.0998  0.0026  0.1223  0.0025 -0.0013  0.0057  4.5500  0.0050  4.3610  0.0110  3.7890  0.0090  3.7850  0.0110  0.3560  0.0350  0.0930  0.0460 -1.0700  0.0500
ASAS_J045304-0700.4            K2_V         K4_V            1.622 11.24  0.63 -0.0789  0.0019 -0.0820  0.0021 -0.0716  0.0026 -0.0794  0.0026  4.5030  0.0050  4.5150  0.0050  3.7260  0.0160  3.7080  0.0170 -0.2780  0.0650 -0.3650  0.0680 -9.9900 -9.9900
47_Tuc_E32                     none         none           40.913 17.15  0.56 -0.0646  0.0024 -0.0826  0.0024  0.0731  0.0012  0.0019  0.0017  4.2270  0.0020  4.3520  0.0030  3.7800  0.0030  3.7750  0.0030  0.2170  0.0130  0.0570  0.0150 -0.7100  0.1000
47_Tuc_V69                     none         none           29.540 16.84  0.56 -0.0574  0.0024 -0.0661  0.0030  0.1189  0.0017  0.0651  0.0023  4.1430  0.0030  4.2420  0.0030  3.7750  0.0030  3.7770  0.0030  0.2920  0.0130  0.1930  0.0140 -0.7100  0.1000
Kepler-35                      none         none           20.734 15.96  0.66 -0.0517  0.0025 -0.0918  0.0024  0.0122  0.0008 -0.1045  0.0012  4.3623  0.0020  4.5556  0.0016  3.7490  0.0110  3.7160  0.0080 -0.0270  0.0430 -0.3870  0.0200 -0.3400  0.2000
HS_Aur                         G8_V         K0_V            9.815 10.16  0.77 -0.0458  0.0092 -0.0560  0.0084  0.0017  0.0104 -0.0590  0.0119  4.3890  0.0230  4.5000  0.0250  3.7280  0.0060  3.7160  0.0060 -0.1300  0.0300 -0.3000  0.0300 -9.9900 -9.9900
