# System                       SpT1         SpT2            Pday  Vmag   BmV   logM1   logM1e  logM2   logM2e  logR1   logR1e  logR2   logR2e  logg1   logg1e  logg2   logg2e  logT1   logT1e  logT2   logT2e  logL1   logL1e  logL2   logL2e  MoH     MoHe                                                 
KIC_2557430                    F2_V         F9_V            1.298 11.63  0.58  0.2279  0.0077  0.1303  0.0064  0.2742  0.0046  0.0899  0.0106  4.1160  0.0090  4.3860  0.0190  3.8480  0.0110  3.7820  0.0500  0.8990  0.0380  0.2490  0.0750 -0.0200  0.1100
BD_+47_378                     F0_V         K4_V            2.145 10.11  0.49  0.2279  0.0077 -0.0969  0.0109  0.3010  0.0022 -0.1079  0.0056  4.0680  0.0030  4.5520  0.0060  3.8540  0.0060  3.6640  0.0090  0.9680  0.0250 -0.6000  0.0380 -9.9900 -9.9900
EPIC_211982753                 none         none            5.390  8.77  0.30  0.2279  0.0051  0.2014  0.0055  0.2201  0.0052  0.1847  0.0057  4.2260  0.0100  4.2700  0.0110  3.8700  0.0150  3.8440  0.0160  0.8750  0.0100  0.7030  0.0130 -9.9900 -9.9900
DS_And                         F1_III       G2_V            1.011 10.44  0.39  0.2284  0.0028  0.0734  0.0011  0.3395  0.0018  0.0792  0.0022  3.9870  0.0170  4.3530  0.0040  3.8490  0.0090  3.7960  0.0140  0.9570  0.0030  0.2250  0.0030 -0.0300  0.0200
ASAS_J060505+2032.1            none         none            2.121 11.93  0.58  0.2345  0.0056  0.2297  0.0072  0.3113  0.0021  0.3028  0.0024  4.0500  0.0030  4.0620  0.0040  3.8700  0.0250  3.8700  0.0220 -9.9900 -9.9900 -9.9900 -9.9900 -0.1200  0.3100
BD_+37_410                     F4_III       none           15.535  9.94  0.38  0.2348  0.0028  0.0700  0.0018  0.4622  0.0019  0.0741  0.0018  3.7480  0.0040  4.3600  0.0030  3.8210  0.0130  3.8010  0.0140 -9.9900 -9.9900 -9.9900 -9.9900 -0.0300  0.0200
HW_CMa                         A7_Vm        A7_Vm          21.118 10.00  0.19  0.2358  0.0028  0.2507  0.0029  0.2156  0.0048  0.2206  0.0055  4.2420  0.0100  4.2470  0.0110  3.8790  0.0090  3.8860  0.0080  0.8980  0.0360  0.9400  0.0350  0.3300  0.1500
OGLE-SMC-ECL-0019              G4_III       G5_III        143.393 17.92  0.99  0.2380  0.0075  0.2279  0.0077  1.2253  0.0103  1.2742  0.0139  2.2300  0.0200  2.1200  0.0300  3.7160  0.0080  3.7080  0.0090  2.2700  0.0400  2.3340  0.0440 -0.5600  0.0800
KIC_10031808                   none         none            8.590  9.56  0.45  0.2408  0.0022  0.2548  0.0031  0.4133  0.0034  0.4810  0.0020  3.8520  0.0060  3.7310  0.0040  3.8520  0.0070  3.8350  0.0070  1.1850  0.0270  1.2540  0.0270 -0.1100  0.0800
KIC_9851944                    F1_V         F1_IV           2.164 11.42  0.47  0.2428  0.0025  0.2709  0.0023  0.4036  0.0045  0.4744  0.0064  3.8740  0.0090  3.7600  0.0130  3.8430  0.0030  3.8350  0.0020  1.1330  0.0140  1.2440  0.0160 -9.9900 -9.9900
V572_Per                       A0_V         none            1.213  6.71  0.08  0.2455  0.0074  0.1430  0.0094  0.2253  0.0078  0.1106  0.0135  4.2300  0.0200  4.3600  0.0300  3.9000  0.0300  3.8200  0.0400 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
EI_Cep                         F3_IV        F1_V            8.439  7.61  0.33  0.2485  0.0017  0.2253  0.0016  0.4618  0.0072  0.3672  0.0082  3.7630  0.0140  3.9290  0.0160  3.8290  0.0070  3.8420  0.0060  1.1930  0.0300  1.0550  0.0300 -9.9900 -9.9900
XY_Cet                         A8_Vm        F0_Vm           2.781  8.80  0.29  0.2487  0.0039  0.2082  0.0038  0.2725  0.0081  0.2487  0.0071  4.1420  0.0160  4.1490  0.0140  3.8960  0.0060  3.8820  0.0070  1.0820  0.0300  0.9780  0.0320 -9.9900 -9.9900
IM_Per                         A8_V         A8_V            2.254 11.28  0.70  0.2512  0.0023  0.2490  0.0024  0.3818  0.0032  0.3740  0.0031  3.9258  0.0067  3.9394  0.0068  3.8800  0.0090  3.8790  0.0090  1.2350  0.0350  1.2170  0.0360 -9.9900 -9.9900
OGLE-LMC-ECL-03160             G7_III       K2_III        150.154 17.13  1.31  0.2533  0.0039  0.2558  0.0043  1.2312  0.0071  1.5731  0.0028  2.2290  0.0140  1.5480  0.0050  3.6930  0.0090  3.6480  0.0070  2.1880  0.0400  2.6950  0.0280 -0.6800  0.1800
GW_Eri                         A4_Vm        A4_Vm           3.659  5.80  0.18  0.2537  0.0014  0.2496  0.0013  0.2620  0.0038  0.2543  0.0036  4.1680  0.0070  4.1790  0.0070  3.9230  0.0040  3.9130  0.0040  1.1490  0.0180  1.1140  0.0200  0.5100  0.1500
MY_Cyg                         F0_Vm        F0_Vm           4.005  8.31  0.30  0.2601  0.0072  0.2553  0.0072  0.3464  0.0039  0.3579  0.0038  4.0100  0.0100  3.9800  0.0100  3.8510  0.0120  3.8470  0.0120  1.0500  0.0400  1.0600  0.0500 -9.9900 -9.9900
OGLE-LMC-ECL-12875             G8_III       K2.5_III      152.850 17.32  1.39  0.2627  0.0047  0.2690  0.0054  1.1937  0.0036  1.6109  0.0034  2.3130  0.0070  1.4860  0.0060  3.6850  0.0090  3.6420  0.0110  2.0830  0.0360  2.7440  0.0440 -0.4800  0.1500
HY_Vir                         F0m          F5_V            2.732  7.81  0.42  0.2643  0.0021  0.1474  0.0019  0.4481  0.0012  0.1816  0.0023  3.8060  0.0030  4.2220  0.0040  3.8360  0.0080  3.8160  0.0080  1.2000  0.0400  0.5800  0.0400 -9.9900 -9.9900
OGLE-LMC-ECL-12669             K0.5_III     G9_III        749.632 17.21  1.20  0.2655  0.0068  0.2927  0.0066  1.3833  0.0061  1.3685  0.0056  1.9370  0.0120  1.9940  0.0110  3.6660  0.0080  3.6730  0.0090  2.3840  0.0340  2.3860  0.0380 -0.3000  0.1400
OGLE_SMC130.5_4296             G7_III       K1_III        120.468 16.78  1.10  0.2681  0.0059  0.2565  0.0065  1.4055  0.0043  1.6628  0.0033  1.8950  0.0140  1.3690  0.0130  3.6910  0.0070  3.6550  0.0070  2.5290  0.0360  2.8980  0.0360 -0.8800  0.1500
RS_Cha                         A8_V         A8_V            1.670  6.03  0.20  0.2690  0.0037  0.2603  0.0043  0.3298  0.0112  0.3688  0.0102  4.0470  0.0230  3.9610  0.0210  3.9060  0.0100  3.8860  0.0100  1.2400  0.0500  1.2400  0.0500  0.1700  0.0700
V456_Cyg                       A2m          F3_V            0.892 10.85  0.31  0.2693  0.0096  0.1976  0.0102  0.2009  0.0041  0.1781  0.0046  4.3060  0.0060  4.2790  0.0080  3.8890  0.0060  3.8600  0.0070 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
KIC_4076952                    none         none            9.762 13.88  0.82  0.2695  0.0070  0.1367  0.0063  0.4883  0.0023  0.1617  0.0024  3.7420  0.0110  4.2510  0.0110  3.8190  0.0150  3.8250  0.0150 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
KIC_3858884                    none         none           25.952  9.45  0.61  0.2742  0.0069  0.2695  0.0093  0.5378  0.0013  0.4843  0.0014  3.6300  0.0100  3.7400  0.0100  3.8330  0.0040  3.8200  0.0050 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
V392_Car                       A2_V         A2_V            3.175  9.48  0.21  0.2788  0.0055  0.2679  0.0056  0.2109  0.0080  0.2044  0.0084  4.2860  0.0170  4.3100  0.0240  3.9470  0.0100  3.9370  0.0100 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
AY_Cam                         none         none            2.735  9.90  0.36  0.2790  0.0091  0.2317  0.0092  0.4426  0.0031  0.3064  0.0032  3.8320  0.0150  4.0570  0.0160  3.8600  0.0150  3.8690  0.0200  1.2800  0.0060  1.0420  0.0060 -9.9900 -9.9900
WW_Cam                         A4_Vm        A4_Vm           2.274 10.14  0.47  0.2833  0.0029  0.2725  0.0042  0.2813  0.0036  0.2572  0.0034  4.1590  0.0080  4.1960  0.0090  3.9220  0.0070  3.9160  0.0070  1.2000  0.0300  1.1300  0.0300 -9.9900 -9.9900
V362_Pav                       A4_V         K               2.748  7.40  0.18  0.2869  0.0040 -0.0571  0.0025  0.3411  0.0018 -0.0743  0.0029  4.0430  0.0040  4.5300  0.0060  3.9140  0.0040  3.6950  0.0180  1.2920  0.0160 -0.4090  0.0670  0.0200  0.1500
RR_Lyn                         A6_IVm       F0_Vm:          9.945  5.54  0.22  0.2877  0.0015  0.1790  0.0009  0.4089  0.0032  0.2076  0.0035  3.9078  0.0063  4.2017  0.0071  3.8900  0.0120  3.8560  0.0120  1.3340  0.0350  0.7950  0.0490 -9.9900 -9.9900
AI_Hya                         F2_m         F0_V            8.290  9.36  0.36  0.2900  0.0074  0.3214  0.0073  0.4400  0.0024  0.5869  0.0024  3.8480  0.0030  3.5860  0.0030  3.8860  0.0060  3.8560  0.0140  1.3810  0.0340  1.5540  0.0350  0.1400  0.1400
V788_Cen                       A7_IV        A9_V            4.966  5.74  0.25  0.2927  0.0015  0.1893  0.0010  0.4366  0.0016  0.2154  0.0029  3.8580  0.0040  4.1970  0.0090  3.8930  0.0060  3.8700  0.0070  1.4010  0.0240  0.8640  0.0290  0.5000  0.2000
WW_Aur                         A4_Vm        A5_Vm           2.525  5.87  0.14  0.2931  0.0015  0.2586  0.0017  0.2849  0.0025  0.2651  0.0026  4.1620  0.0070  4.1670  0.0070  3.9010  0.0240  3.8850  0.0240  1.1290  0.0920  1.0230  0.0930 -9.9900 -9.9900
V2365_Oph                      A1_V         none            4.866  8.86  0.26  0.2934  0.0038  0.0237  0.0041  0.3404  0.0018 -0.0297  0.0019  4.0510  0.0030  4.5210  0.0040  3.9780  0.0090  3.8060  0.0140  1.5440  0.0500  0.1210  0.0100 -9.9900 -9.9900
KW_Hya                         A5_Vm        F0_V            7.750  6.11  0.17  0.2956  0.0062  0.1723  0.0038  0.3272  0.0031  0.1581  0.0066  4.0790  0.0130  4.2700  0.0100  3.9030  0.0110  3.8430  0.0130  1.2210  0.0440  0.6400  0.0540 -9.9900 -9.9900
VV_Crv                         F5_IV        F5_V            3.145  5.27  0.42  0.2962  0.0022  0.1798  0.0023  0.5283  0.0013  0.2175  0.0021  3.6780  0.0060  4.1830  0.0090  3.8130  0.0130  3.8220  0.0130  1.2610  0.0540  0.6760  0.0540 -9.9900 -9.9900
V885_Cyg                       A3_m         A4_m            1.695 10.03  0.15  0.3021  0.0063  0.3491  0.0051  0.3701  0.0022  0.5296  0.0033  4.0000  0.0070  3.7280  0.0080  3.9230  0.0080  3.9110  0.0080  1.3800  0.0300  1.6600  0.0300 -9.9900 -9.9900
V459_Cas                       A1_m         A1_m            8.458 10.37  0.20  0.3054  0.0065  0.2923  0.0066  0.3030  0.0028  0.2934  0.0029  4.1360  0.0060  4.1440  0.0060  3.9610  0.0140  3.9590  0.0140  1.4100  0.0500  1.3800  0.0600 -9.9900 -9.9900
EK_Cep                         A2_V         G5_Vp           4.428  7.87  0.04  0.3073  0.0049  0.0508  0.0046  0.1984  0.0019  0.1189  0.0020  4.3490  0.0100  4.2510  0.0060  3.9540  0.0100  3.7560  0.0150  1.1700  0.0400  0.2100  0.0600  0.0700  0.0500
OGLE-BLG-ECL-123903            K2_III       K2_III        118.531 16.90  0.99  0.3107  0.0057  0.3168  0.0048  0.9795  0.0022  0.9567  0.0029  2.7900  0.0110  2.8410  0.0120  3.6790  0.0120  3.6800  0.0160  1.6330  0.0710  1.5910  0.0670  0.2400  0.1800
TV_Nor                         none         none            8.524  9.00  0.30  0.3124  0.0047  0.2214  0.0047  0.2646  0.0028  0.1903  0.0039  4.2210  0.0100  4.2780  0.0120  3.9600  0.0070  3.8920  0.0060  1.3250  0.0340  0.9020  0.0350 -9.9900 -9.9900
TZ_For                         G8_III       F7_III         75.666  6.88  0.97  0.3132  0.0002  0.2918  0.0002  0.9212  0.0057  0.5988  0.0088  2.9150  0.0230  3.5390  0.0370  3.6930  0.0030  3.8030  0.0050  1.5700  0.0200  1.3600  0.0300  0.0200  0.0500
V596_Pup                       A1_V         A1_V            4.596  6.58  0.00  0.3224  0.0045  0.3220  0.0039  0.3359  0.0040  0.3359  0.0040  4.0890  0.0090  4.0880  0.0090  3.9780  0.0090  3.9780  0.0090  1.5400  0.0400  1.5400  0.0400 -9.9900 -9.9900
V335_Ser                       A1_V         A3_V            3.450  7.49  0.14  0.3318  0.0028  0.2801  0.0018  0.3075  0.0064  0.2380  0.0100  4.1550  0.0110  4.2410  0.0170  3.9550  0.0070  3.9300  0.0080  1.3900  0.0300  1.1500  0.0400 -9.9900 -9.9900
EE_Peg                         A3_m         F5_V            2.628  6.97  0.08  0.3326  0.0048  0.1245  0.0036  0.3201  0.0052  0.1179  0.0043  4.1310  0.0100  4.3270  0.0080  3.9400  0.0100  3.8100  0.0200  1.3520  0.0410  0.4270  0.0820 -9.9900 -9.9900
V889_Aql                       B9.5_V       B9.5_V         11.121  8.58  0.19  0.3365  0.0040  0.3284  0.0041  0.2718  0.0093  0.2672  0.0094  4.2300  0.0200  4.2300  0.0200  3.9640  0.0050  3.9580  0.0050  1.3540  0.0270  1.3200  0.0290 -9.9900 -9.9900
FT_Ori                         A0_Vm        A2_Vm           3.150  9.26  0.10  0.3389  0.0044  0.2512  0.0049  0.2695  0.0030  0.2084  0.0035  4.2370  0.0060  4.2720  0.0070  3.9820  0.0180  3.9350  0.0150  1.4860  0.0230  1.1790  0.0250 -9.9900 -9.9900
KIC_9246715                    none         none          171.277  9.58  1.05  0.3398  0.0007  0.3344  0.0006  0.9289  0.0061  0.9138  0.0048  2.9200  0.0130  2.9450  0.0090  3.6890  0.0040  3.6910  0.0050  1.5670  0.0220  1.5430  0.0220  0.0100  0.0300
V1647_Sgr                      A1_V         A1_V            3.283  6.94 -0.01  0.3402  0.0073  0.2949  0.0073  0.2627  0.0043  0.2217  0.0044  4.2530  0.0120  4.2890  0.0120  3.9820  0.0140  3.9590  0.0140  1.4100  0.0500  1.2300  0.0600 -9.9900 -9.9900
PT_Vel                         A0_V         A8_V            1.802  7.03  0.05  0.3420  0.0032  0.2111  0.0024  0.3210  0.0041  0.1928  0.0056  4.1380  0.0080  4.2630  0.0110  3.9660  0.0070  3.8830  0.0100  1.4610  0.0380  0.8750  0.0250 -9.9900 -9.9900
EG_Ser                         A2_V         A4_V            9.947  9.24  0.17  0.3424  0.0099  0.2989  0.0109  0.2458  0.0032  0.2133  0.0035  4.2900  0.0100  4.3100  0.0100  3.9440  0.0100  3.9200  0.0100  1.2200  0.0300  1.0600  0.0460 -9.9900 -9.9900
GZ_CMa                         A3_Vm        A4:_V           4.801  7.98  0.06  0.3436  0.0037  0.3021  0.0039  0.3965  0.0056  0.3286  0.0075  3.9890  0.0120  4.0830  0.0160  3.9450  0.0170  3.9310  0.0170  1.5300  0.0700  1.3300  0.0700 -9.9900 -9.9900
OGLE-LMC-ECL-25658             G8_III       G9_III        192.789 17.00  1.17  0.3485  0.0047  0.3483  0.0045  1.3304  0.0030  1.4411  0.0030  2.1260  0.0060  1.9040  0.0060  3.6850  0.0060  3.6740  0.0070  2.3540  0.0270  2.5330  0.0280 -0.4800  0.1300
SW_CMa                         A4_m         A5_m           10.092  9.72  0.13  0.3501  0.0027  0.3230  0.0037  0.4791  0.0029  0.3971  0.0073  3.8298  0.0065  3.9670  0.0150  3.9140  0.0080  3.9080  0.0080  1.5660  0.0320  1.3800  0.0350  0.5500  0.1500
CoRoT_105906206                none         none            3.695 11.78  0.70  0.3522  0.0077  0.1106  0.0101  0.6274  0.0020  0.1271  0.0032  3.5300  0.0100  4.3000  0.0200  3.8290  0.0100  3.7890  0.0110  1.5300  0.0400  0.3600  0.0500  0.0000  0.1000
OT_And                         A0_V         F5_V           20.853  7.89  0.38  0.3528  0.0027  0.3318  0.0022  0.5006  0.0018  0.4231  0.0025  3.7900  0.0100  3.9200  0.0100  3.9030  0.0110  3.9110  0.0110  1.5680  0.0460  1.4470  0.0470 -9.9900 -9.9900
YZ_Cas                         A1_Vm        F2_V            4.467  5.64  0.03  0.3547  0.0023  0.1222  0.0023  0.4023  0.0019  0.1242  0.0020  3.9880  0.0040  4.3110  0.0040  3.9790  0.0050  3.8380  0.0150  1.6720  0.0220  0.5520  0.0610  0.1000  0.0600
OGLE-SMC-ECL-0439              G2_III       G2_III        279.266 18.06  0.90  0.3560  0.0057  0.3598  0.0057  1.1614  0.0150  1.1875  0.0141  2.4700  0.0300  2.4200  0.0300  3.7200  0.0080  3.7210  0.0080  2.1580  0.0420  2.2150  0.0430 -1.2500  0.0800
V1229_Tau                      A0_V         A_Vm            2.460  6.84  0.08  0.3566  0.0021  0.2028  0.0022  0.2550  0.0046  0.1492  0.0065  4.2850  0.0090  4.3420  0.0130  4.0090  0.0040  3.8850  0.0050  1.4990  0.0180  0.7920  0.0230  0.0600  0.0500
V624_Her                       A3_Vm        A7_V            3.895  6.20  0.14  0.3583  0.0029  0.2744  0.0030  0.4814  0.0049  0.3442  0.0067  3.8340  0.0100  4.0240  0.0140  3.9110  0.0080  3.9000  0.0080  1.5600  0.0300  1.2400  0.0400 -9.9900 -9.9900
SZ_Cen                         A7_V         A7_V            4.108  8.48  0.22  0.3649  0.0049  0.3574  0.0040  0.6584  0.0031  0.5592  0.0031  3.4860  0.0080  3.6770  0.0070  3.8750  0.0170  3.8920  0.0170  1.7700  0.0700  1.6400  0.0700 -9.9900 -9.9900
V364_Lac                       A7_m         A7_m            7.352  8.36  0.18  0.3679  0.0028  0.3610  0.0047  0.5194  0.0050  0.4749  0.0051  3.7670  0.0100  3.8490  0.0110  3.9170  0.0080  3.9290  0.0080  1.6570  0.0330  1.6200  0.0320 -9.9900 -9.9900
V541_Cyg                       B9.5_V       B9.5_V         15.338 10.44 -0.06  0.3683  0.0028  0.3541  0.0029  0.2693  0.0026  0.2572  0.0034  4.2675  0.0051  4.2770  0.0064  4.0270  0.0080  4.0150  0.0080  1.6010  0.0330  1.5280  0.0350 -9.9900 -9.9900
GG_Ori                         A2_V         A2_V            6.631 10.43  0.49  0.3696  0.0030  0.3688  0.0032  0.2676  0.0059  0.2625  0.0059  4.2720  0.0120  4.2820  0.0120  3.9980  0.0090  3.9980  0.0090  1.4800  0.0370  1.4700  0.0370 -9.9900 -9.9900
OGLE-SMC-ECL-3529              F8_III       G3_III        234.326 17.12  0.80  0.3729  0.0055  0.3945  0.0088  1.1004  0.0138  1.3243  0.0062  2.6100  0.0300  2.1800  0.0100  3.7660  0.0070  3.7230  0.0150  2.2200  0.0420  2.4980  0.0610 -0.9300  0.1000
beta_Aur                       A1_Vm        A1_Vm           3.960  1.89  0.04  0.3758  0.0049  0.3600  0.0051  0.4412  0.0027  0.4096  0.0029  3.9320  0.0050  3.9790  0.0050  3.9710  0.0090  3.9640  0.0090  1.7210  0.0380  1.6300  0.0380 -9.9900 -9.9900
V396_Cas                       A1_V         A3_V            5.505  9.56  0.06  0.3798  0.0040  0.2790  0.0037  0.4136  0.0022  0.2502  0.0024  3.9900  0.0040  4.2160  0.0050  3.9650  0.0070  3.9320  0.0060  1.6420  0.0280  1.1830  0.0240 -9.9900 -9.9900
OGLE-LMC-ECL-09678             G4_III       G9_III        114.450 17.22  1.20  0.3802  0.0052  0.4064  0.0053  1.1389  0.0050  1.4857  0.0040  2.5400  0.0100  1.8730  0.0080  3.7190  0.0070  3.6730  0.0080  2.1070  0.0270  2.6160  0.0350 -0.3800  0.1600
OGLE-SMC-ECL-2761              F9_III       G0_III        150.364 17.30  0.82  0.3874  0.0071  0.3766  0.0055  1.2380  0.0075  1.2430  0.0099  2.3500  0.0100  2.3300  0.0200  3.7510  0.0090  3.7470  0.0090  2.4310  0.0400  2.4280  0.0420 -0.7300  0.0900
V1031_Ori                      A3_V         A6_V            3.406  6.02  0.18  0.3932  0.0032  0.3591  0.0030  0.6356  0.0034  0.4738  0.0093  3.5600  0.0080  3.8500  0.0190  3.8950  0.0280  3.9240  0.0260  1.8000  0.1100  1.6000  0.1100 -9.9900 -9.9900
TZ_Men                         A0_V         A8_V            8.570  6.19 -0.06  0.3957  0.0044  0.1772  0.0029  0.3045  0.0043  0.1559  0.0045  4.2250  0.0110  4.3030  0.0090  4.0170  0.0170  3.8570  0.0180  1.6300  0.0700  0.6900  0.0700 -9.9900 -9.9900
WX_Cep                         A2_V         A5_V            3.378  9.03  0.11  0.4047  0.0086  0.3672  0.0084  0.6014  0.0033  0.4331  0.0037  3.6400  0.0110  3.9390  0.0110  3.9110  0.0120  3.9490  0.0120  1.8000  0.0500  1.6200  0.0500 -9.9900 -9.9900
AR_Aur                         B9_V         B9_V            4.135  6.17  0.04  0.4055  0.0015  0.3725  0.0015  0.2550  0.0031  0.2634  0.0045  4.3330  0.0080  4.2840  0.0100  4.0390  0.0120  4.0150  0.0130  1.6100  0.0500  1.5300  0.0500 -9.9900 -9.9900
OGLE-SMC-ECL-2876              G0_III       G4_III        120.867 17.49  0.50  0.4082  0.0068  0.3997  0.0052  1.2175  0.0105  1.2380  0.0100  2.4100  0.0200  2.3600  0.0200  3.7450  0.0080  3.7120  0.0080  2.3710  0.0370  2.2790  0.0340 -0.4300  0.0800
OGLE-SMC-ECL-1859              G0_III       G7_III         75.544 17.69  0.92  0.4116  0.0051  0.3945  0.0035  1.2095  0.0080  1.2718  0.0070  2.4300  0.0200  2.2900  0.0100  3.7440  0.0080  3.6950  0.0090  2.3500  0.0350  2.2760  0.0370 -0.2100  0.2200
V4089_Sgr                      A2_IV        A3_V            4.627  6.00  0.09  0.4123  0.0020  0.2060  0.0022  0.5981  0.0022  0.2055  0.0019  3.6540  0.0050  4.2330  0.0040  3.9260  0.0050  3.8670  0.0060 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
HD_96609                       B9           none            8.192  8.61  0.02  0.4249  0.0033  0.2648  0.0024  0.4378  0.0010  0.2297  0.0013  3.9870  0.0010  4.2430  0.0020  3.9850  0.0110  3.9520  0.0120  1.7600  0.0400  1.2200  0.0400  0.0200  0.0600
OGLE-SMC-ECL-0727              G3_III       G8_III        316.572 18.11  1.04  0.4281  0.0065  0.4099  0.0068  1.1644  0.0059  1.3096  0.0064  2.5300  0.0100  2.2300  0.0100  3.7240  0.0080  3.6840  0.0080  2.1820  0.0340  2.3100  0.0340 -0.8900  0.0800
OGLE-LMC-ECL-05430             G9_III       G9_III        505.183 16.61  1.20  0.4341  0.0027  0.5281  0.0023  1.4622  0.0054  1.5396  0.0035  1.9480  0.0110  1.8870  0.0070  3.6730  0.0060  3.6780  0.0060  2.5720  0.0280  2.7440  0.0250 -0.3700  0.1000
OGLE-SMC-ECL-1421              G2_III       G6_III        102.834 17.18  0.77  0.4346  0.0032  0.4548  0.0030  1.2480  0.0074  1.3766  0.0036  2.3700  0.0100  2.1400  0.0100  3.7320  0.0080  3.7010  0.0080  2.3800  0.0340  2.5120  0.0330 -1.0500  0.1100
OGLE-LMC-ECL-24887             G5_III       G6_III         94.844 17.68  1.16  0.4389  0.0074  0.4736  0.0066  1.2156  0.0069  1.2512  0.0073  2.4460  0.0140  2.4090  0.0140  3.7100  0.0070  3.7050  0.0070  2.2250  0.0310  2.2760  0.0320 -0.2200  0.1200
PV_Cas                         B9.5_V       B9.5_V          1.750  9.74  0.17  0.4409  0.0094  0.4487  0.0077  0.3533  0.0031  0.3612  0.0040  4.1700  0.0200  4.1700  0.0200  4.0080  0.0100  4.0080  0.0100  1.6900  0.0400  1.7100  0.0400 -9.9900 -9.9900
V451_Oph                       B9_V         A0_V            2.197  7.87 -0.08  0.4434  0.0099  0.3722  0.0096  0.4216  0.0051  0.3071  0.0060  4.0380  0.0150  4.1960  0.0150  4.0330  0.0320  3.9910  0.0220  1.9300  0.1300  1.5300  0.0900 -9.9900 -9.9900
V402_Lac                       B8_V         B8_V            3.782  6.73 -0.04  0.4472  0.0078  0.4440  0.0078  0.3766  0.0055  0.3729  0.0055  4.1320  0.0130  4.1360  0.0140  4.0540  0.0100  4.0520  0.0090  1.9300  0.0400  1.9100  0.0400 -9.9900 -9.9900
V348_And                       B9_V         none           27.703  6.60  0.11  0.4487  0.0062  0.4298  0.0065  0.3838  0.0054  0.3692  0.0056  4.1200  0.0200  4.1300  0.0200  4.0200  0.0200  4.0200  0.0200 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
OGLE-LMC-ECL-13529             G4_III       G4_III         49.467 17.36  1.01  0.4559  0.0024  0.4487  0.0025  1.2312  0.0054  1.2036  0.0060  2.4320  0.0110  2.4800  0.0120  3.7240  0.0060  3.7210  0.0070  2.3120  0.0280  2.2460  0.0320 -0.1800  0.1400
OGLE-LMC-ECL-18836             G5_III       K1_III        182.553 17.43  1.29  0.4561  0.0047  0.4447  0.0056  1.2028  0.0068  1.4895  0.0046  2.4890  0.0130  1.9040  0.0090  3.7120  0.0080  3.6630  0.0080  2.2100  0.0380  2.5870  0.0320 -0.4000  0.1000
OGLE-LMC-ECL-09660             G3_III       K0_III        167.796 16.27  1.19  0.4744  0.0019  0.4767  0.0017  1.3740  0.0039  1.6474  0.0025  2.1650  0.0080  1.6200  0.0050  3.7200  0.0050  3.6710  0.0090  2.5830  0.0230  2.9320  0.0360 -0.4600  0.1000
OGLE-LMC-ECL-21873             G4_III       G6_III        144.188 16.79  1.06  0.4748  0.0031  0.4904  0.0034  1.3066  0.0047  1.3922  0.0042  2.3000  0.0090  2.1440  0.0080  3.7210  0.0060  3.7040  0.0070  2.4530  0.0260  2.5540  0.0290 -0.2800  0.1200
V414_Pup                       ApSi         Am              4.749  8.81 -0.05  0.4990  0.0081  0.2433  0.0097  0.4442  0.0053  0.1430  0.0131  4.0490  0.0110  4.3950  0.0210  4.1140  0.0100  3.9540  0.0070 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
alpha_Dra                      A0_III       none           51.417  3.68  0.04  0.5032  0.0060  0.3858  0.0034  0.6930  0.0032  0.3666  0.0097  3.5550  0.0060  4.0900  0.0190  4.0100  0.0040  3.9970  0.0140  2.3800  0.0180  1.6670  0.0590  0.0100  0.0500
psi_Cen                        A0_IV        none           38.813  4.05  0.03  0.5034  0.0042  0.2925  0.0033  0.5814  0.0008  0.2778  0.0009  3.7790  0.0030  4.1750  0.0040  4.0190  0.0120  3.9440  0.0150  2.1470  0.0500  1.2440  0.0590 -9.9900 -9.9900
V906_Sco                       B9_V         B9_V            2.786  5.96 -0.01  0.5123  0.0092  0.5287  0.0091  0.5459  0.0048  0.6552  0.0034  3.8580  0.0130  3.6560  0.0120  4.0290  0.0200  4.0170  0.0210  2.1620  0.0820  2.3300  0.0840 -9.9900 -9.9900
OGLE-LMC-ECL-09114             G4_III       G2_III        214.366 16.71  1.03  0.5190  0.0030  0.5058  0.0034  1.4205  0.0056  1.2739  0.0086  2.1160  0.0110  2.3960  0.0170  3.7190  0.0050  3.7340  0.0090  2.6690  0.0230  2.4390  0.0400 -0.3800  0.1200
OGLE-LMC-ECL-10567             G6_III       G9_III        117.975 16.43  1.09  0.5228  0.0038  0.5030  0.0035  1.3909  0.0051  1.5640  0.0030  2.1790  0.0100  1.8130  0.0060  3.7050  0.0090  3.6730  0.0070  2.5550  0.0360  2.7770  0.0280 -0.7000  0.1000
OGLE_SMC113.3_4007             G8_III       G8_III        371.768 15.81  0.88  0.5446  0.0035  0.5516  0.0030  1.6609  0.0066  1.6848  0.0063  1.6600  0.0170  1.6200  0.0160  3.6810  0.0090  3.6820  0.0090  3.0000  0.0330  3.0530  0.0300 -0.5000  0.0000
